73800,107000,3.75,755,5760,31500,3.13,1.13,4.53,27.9,4520,.35,25.2,33,20.55,50400,61.4,2.25,7.66,.828,434,9.52,402,135,.68,3.63,105,1062
93800,73000,4.86,920,4700,34200,2.59,1.54,5.57,36.6,5210,.424,36.6,34.1,25.2,58500,69.7,2.88,9.92,.934,271,12.57,230,213,.88,3.64,150,1063
84000,94000,3.83,863,4660,25200,2.43,1.16,5.19,33.2,4810,.365,31.1,29.7,21.58,55200,65.1,2.54,9.61,.873,245,11.37,211,173,.81,4.3,148,1064
66000,91000,4.01,971,5680,22200,1.74,1.05,4.18,23,4560,.317,21.3,44.3,20.65,56300,48.8,2.29,4.9,.675,761,7.67,586,112,.56,3.11,113,1065
72800,89000,4.03,1079,4560,25700,2,1.23,4.43,24.1,4250,.334,22.9,48,22.14,61300,52.1,2.35,5.24,.717,695,8.21,604,142,.58,3.57,102,1066
86800,66000,4.12,926,5190,30700,2.47,1.27,5.09,32,5400,.357,28.6,37.3,23.07,58500,69.6,2.62,6.79,.865,480,10.49,459,176,.75,3.38,115,1067
80100,96000,3.84,776,6570,26300,2.4,1.16,4.63,28.1,4850,.325,25.3,33.9,20.34,53100,60.1,2.3,5.93,.792,439,9.64,402,148,.61,3.31,107,1068
83600,56000,4.46,835,8220,26900,2.28,1.4,5.38,31,4820,.338,31.1,34.8,19.99,54000,64.1,2.55,6.03,.883,314,10.13,300,152,.85,4.02,134,1069
79700,96000,4.56,927,10090,24800,2.41,1.37,5.48,33.6,4980,.4,31.8,29,21.08,54300,65.1,2.69,8.88,.857,246,11.3,173,160,.84,3.24,134,1070
75200,82000,4.36,714,9830,20900,2.28,1.18,5.14,27.7,4960,.35,26,38.9,22.43,55700,61.9,2.67,17.15,1.025,615,10,417,212,.73,4.32,148,1071
80600,37000,4.25,771,7040,38200,2.25,1.28,5.1,30.9,5040,.356,27.4,32.4,20.7,55300,65.6,2.45,6.49,.909,357,10.86,299,160,.82,3.94,137,1072
73600,85000,4.1,859,6460,27700,2.51,1.1,4.46,27.3,4870,.298,25.1,36.7,20.67,55000,59.5,2.14,6.08,.79,490,9.59,456,153,.75,3.17,94,1073
80700,77000,4.1,859,8120,27700,2.29,1.05,4.52,28,5000,.379,25.2,28.9,22.25,56200,56.7,2.67,9.02,.859,248,11.05,191,156,.62,3.74,120,1074
82200,89000,4.66,1052,3940,26200,2.42,1.49,5.38,34.1,4580,.447,30.9,36.2,22.51,53400,61.9,2.66,8.31,.793,270,10.76,289,158,.79,3.08,139,1075
57600,115000,3.71,711,5660,19700,2.25,1.15,4.04,23.1,4040,.306,22.8,32.6,17.78,45900,47.1,1.96,4.22,.661,456,7.45,489,94,.69,2.62,102,1076
82400,93000,4.47,966,5800,29300,2.43,1.46,5.3,33.7,4510,.386,29.2,30.4,21.82,53400,65.1,2.82,7.88,.837,248,11.42,206,147,.71,3.61,124,1077
77300,98000,3.62,777,5500,27000,2.41,1.36,4.73,30.6,4620,.346,28.4,33.9,20.65,52200,63.9,2.33,6.3,.799,442,10.18,415,130,.61,3.2,102,1078
68900,59000,3.9,629,6840,28300,1.95,1.3,4.59,26.7,4190,.337,24.1,27.5,18.48,46800,56.3,2.46,5.25,.766,350,9.54,288,154,.75,3.98,107,1079
55300,32000,3.34,1984,6800,10200,1.08,1.07,3.58,19.1,4500,.337,18,99.9,24.04,75400,45,2.08,5.96,.787,1562,5.5,1562,79,.71,3.21,106,1080
85500,99000,4.29,954,6170,27600,2.65,1.35,4.88,31,4710,.416,29.6,32.9,22.51,58700,63.2,2.72,8.57,.854,246,11.55,253,191,.8,3.54,123,1081
58500,101000,3.52,942,3860,15500,1.86,1.04,3.89,21,3990,.309,19.2,41.5,18.88,53500,44.9,2.02,3.33,.635,516,7.13,607,100,.7,3.31,104,1082
68000,70000,4.04,745,6040,21500,2.2,1.23,4.46,24.4,4890,.373,23.4,33.7,20.61,53000,49.4,2.46,4.37,.745,490,8.29,559,106,.69,3.23,99,1083
74400,94000,3.9,677,4640,25600,2.3,1.22,4.52,27,4620,.366,23.4,36.1,21.78,54200,56.1,2.3,5.45,.815,493,9.16,541,160,.71,3.29,88,1084
100200,42000,5.21,921,9540,36800,2.56,1.61,6.25,37.6,4830,.467,32.6,23.8,22.91,55700,80.3,3.07,9.72,1.069,179,14.48,171,161,.98,4.87,96,1085
63000,137000,3.47,672,3980,21000,2.13,1.12,4.13,25.7,3810,.295,22.1,25.1,17.48,41600,49.6,2.11,6.49,.635,194,8.81,144,108,.76,2.51,110,1086
79900,113000,4.75,1039,6100,22000,2.42,1.41,5.27,31.1,4460,.412,28.6,29.7,21.46,55600,61.9,2.57,7.72,.809,243,10.95,226,120,.84,3.34,128,1087
77900,77000,4.46,834,6450,22600,2.68,1.53,5.26,30.1,5040,.405,27.3,36.2,22.52,56700,63.6,2.55,6.41,.845,462,10.02,454,131,.82,3.73,127,1088
89500,91000,4.51,877,7720,27400,2.5,1.34,5.48,34.6,4870,.418,30.6,30,23.32,55600,68.5,2.71,9.66,.89,249,12.58,210,145,.75,4.06,138,1089
73500,82000,3.9,801,6580,18200,2.39,1.34,4.6,26.5,4500,.34,22.7,36.3,20.84,53600,55.6,2.24,4.96,.797,543,8.85,501,110,.73,3.65,91,1090
75600,109000,3.98,914,4820,23800,1.87,1.26,4.57,26,4030,.334,22.6,38.2,21.16,57100,54.3,2.24,5.9,.735,466,9.1,557,116,.68,3.13,111,1091
82000,86000,4.67,938,5550,34400,2.35,1.4,5.41,31.8,4680,.392,29,29.2,20.6,53900,63.7,2.69,8.82,.851,247,11.2,209,147,.78,4.03,114,1092
68400,106000,3.98,1169,11690,22000,1.95,1.09,4.24,23.3,4470,.338,20.9,43.3,21.08,56800,50.2,2.23,4.43,.705,555,7.88,613,89,.73,3.59,103,1093
63200,128000,3.47,868,4700,18000,3.47,1.09,4.15,24,4250,.29,22.9,43.3,19.82,53200,49.8,2.13,4.18,.68,532,7.77,587,93,.67,2.9,114,1094
91500,106000,4.07,722,7070,31900,2.3,1.3,4.96,32.8,4210,.391,27,33.3,25.43,61600,63.8,2.64,11.46,.779,307,11.28,345,177,.76,3.12,130,1095
61500,130000,3.43,744,4580,19400,3.28,1.22,4.04,23.5,3790,.29,23.3,37.1,18.86,49800,47.5,2.06,4.06,.653,470,7.42,538,89,.74,2.33,127,1096
85200,88000,4.3,941,4700,31500,2.4,1.48,5.3,32.9,4650,.397,27.1,32.4,22.56,58500,63.8,2.66,8.01,.828,256,11.37,236,152,.86,3.15,132,1097
67000,73000,4.08,923,5410,23500,1.6,1.21,4.68,24.2,4470,.365,23.2,41.6,20.48,55800,51.4,2.45,4.3,.71,440,8.18,487,127,.78,3.33,126,1098
85200,65000,4.12,632,7570,36700,2.45,1.48,5.88,35.2,4580,.425,36.1,20.6,20.71,47500,73.7,2.71,21.99,.916,302,12.18,169,243,.92,4.81,117,1099
74200,58000,4.31,869,4610,27000,1.92,1.25,4.86,27.8,4730,.384,29.9,40.8,22.08,59100,56.3,2.45,5.66,.77,445,9.59,501,155,.88,3.26,131,1100
65900,82000,4.06,709,6230,25400,2.13,1.22,4.58,24.7,4410,.331,23.4,32.7,20.16,53100,53.9,2.21,4.52,.764,499,8.69,545,142,.83,3.63,104,1101
69500,70000,4.5,1001,4750,25000,1.63,1.25,4.67,24.8,4320,.366,25.4,41.9,20.38,56300,51.6,2.31,4.11,.726,492,8.22,533,106,.7,3.36,98,1102
70900,106000,4.18,960,5950,25700,1.78,1.16,4.29,24.5,4100,.339,25.3,47.5,21.48,59500,51,2.18,5.78,.693,509,8.24,711,132,.68,2.98,120,1103
61700,97000,4.39,966,5010,17500,1.47,1.16,4.23,22,3890,.336,21.9,42.9,19.05,54400,46.2,2.2,3.96,.66,628,7.17,603,114,.68,3.14,109,1104
87000,78000,4.46,972,5790,31800,2.4,1.33,5.38,33.3,5240,.387,29.7,27.4,21.75,52800,66.4,2.68,8.94,1.001,241,11.72,190,160,.73,3.52,122,1105
70700,111000,9.71,940,3820,23700,1.92,.99,4.29,25.6,4000,.299,22.4,41,21.04,55900,54.3,2.17,6.09,.83,449,8.51,597,124,.7,2.93,95,1106
76700,108000,3.82,658,4820,26000,2.14,1.16,4.5,26.4,4450,.359,24,37.7,22.06,55900,57.8,2.4,6.17,.884,485,9.08,503,121,.68,2.69,112,1107
70000,76000,4.65,1130,7750,16500,1.77,1.26,5,26.2,5000,.359,26.2,42.1,20.69,56400,56.8,2.65,4.27,.965,521,8.47,490,110,.83,3.78,112,1108
85800,85000,4.54,869,4570,22800,2.75,1.28,5.09,26.4,5600,.403,25.5,36.3,25.93,57600,60.8,2.7,9.69,1.066,590,10.94,399,149,.88,4.15,142,1109
